# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  142       5.586896148719e-10       1.521403038332e-13      -6.103559701271e-12       8.969342106421e-16       3.862570743592e-12       6.923209478809e-13      -4.335778210079e-15 
  143       5.633016658766e-10       1.519811798913e-13      -6.132441966957e-12       9.104761787751e-16       3.786318799826e-12       6.821585608512e-13      -4.278415882534e-15 
  144       5.678983369486e-10       1.517567141050e-13      -6.158437386195e-12       9.241470914385e-16       3.712087094748e-12       6.722407491306e-13      -4.222282443668e-15 
  145       5.724783472645e-10       1.514674617890e-13      -6.181492833345e-12       9.379476434008e-16       3.639830757799e-12       6.625563626232e-13      -4.167135768602e-15 
  146       5.770403620140e-10       1.511140733790e-13      -6.201556430168e-12       9.518785269867e-16       3.569495414788e-12       6.530926916907e-13      -4.112715183628e-15 
  147       5.815829912714e-10       1.506972962167e-13      -6.218577585800e-12       9.659404318859e-16       3.501016973060e-12       6.438354332301e-13      -4.058741108109e-15 
  148       5.861047888678e-10       1.502179763357e-13      -6.232507036719e-12       9.801340449623e-16       3.434321406659e-12       6.347686567520e-13      -4.004914696363e-15 
  149       5.906042512629e-10       1.496770602472e-13      -6.243296886717e-12       9.944600500622e-16       3.369324541489e-12       6.258747704583e-13      -3.950917479559e-15 
  150       5.950798164169e-10       1.490755967253e-13      -6.250900646878e-12       1.008919127824e-15       3.305931840483e-12       6.171344873209e-13      -3.896411007609e-15 
  151       5.995298626625e-10       1.484147385928e-13      -6.255273275539e-12       1.023511955485e-15       3.244038188764e-12       6.085267911592e-13      -3.841036491059e-15 
  152       6.039527075769e-10       1.476957445069e-13      -6.256371218271e-12       1.038239206693e-15       3.183527678807e-12       6.000289027186e-13      -3.784414442979e-15 
  153       6.083467310608e-10       1.469199639029e-13      -6.254152678568e-12       1.053101491872e-15       3.124297580617e-12       5.916214732332e-13      -3.726233710393e-15 
  154       6.127107598217e-10       1.460887864938e-13      -6.248578374111e-12       1.068099173480e-15       3.066333211064e-12       5.833047796232e-13      -3.666528632700e-15 
  155       6.170437166386e-10       1.452036914601e-13      -6.239610927330e-12       1.083232533137e-15       3.009639645467e-12       5.750839767631e-13      -3.605427078693e-15 
  156       6.213444988756e-10       1.442662655551e-13      -6.227214681799e-12       1.098501829037e-15       2.954218067052e-12       5.669639980336e-13      -3.543063468394e-15 
  157       6.256119779859e-10       1.432782048050e-13      -6.211355743382e-12       1.113907295449e-15       2.900065675285e-12       5.589495480227e-13      -3.479578870200e-15 
  158       6.298449990164e-10       1.422413162089e-13      -6.192002021384e-12       1.129449142229e-15       2.847175594214e-12       5.510450952273e-13      -3.415121098030e-15 
  159       6.340423801123e-10       1.411575194380e-13      -6.169123269689e-12       1.145127554320e-15       2.795536780802e-12       5.432548647546e-13      -3.349844808476e-15 
  160       6.382029120215e-10       1.400288485360e-13      -6.142691127918e-12       1.160942691263e-15       2.745133933264e-12       5.355828310233e-13      -3.283911597948e-15 
  161       6.423253575991e-10       1.388574536188e-13      -6.112679162565e-12       1.176894686702e-15       2.695947399406e-12       5.280327104651e-13      -3.217490099825e-15 
  162       6.464084513122e-10       1.376456025742e-13      -6.079062908149e-12       1.192983647886e-15       2.647953084962e-12       5.206079542264e-13      -3.150756081598e-15 
  163       6.504508987440e-10       1.363956827620e-13      -6.041819908360e-12       1.209209655183e-15       2.601122361928e-12       5.133117408690e-13      -3.083892542024e-15 
  164       6.544513760984e-10       1.351102027133e-13      -6.000929757206e-12       1.225572761578e-15       2.555421976901e-12       5.061469690722e-13      -3.017089808269e-15 
  165       6.584085297047e-10       1.337917938312e-13      -5.956374140158e-12       1.242072992184e-15       2.510813959415e-12       4.991162503336e-13      -2.950545633060e-15 
  166       6.623209755220e-10       1.324432120896e-13      -5.908136875296e-12       1.258710343747e-15       2.467255530278e-12       4.922219016711e-13      -2.884465291828e-15 
  167       6.661872986437e-10       1.310673397340e-13      -5.856203954459e-12       1.275484784151e-15       2.424699009911e-12       4.854659383237e-13      -2.819061679862e-15 
  168       6.700060528019e-10       1.296671869807e-13      -5.800563584387e-12       1.292396251924e-15       2.383091726681e-12       4.788500664533e-13      -2.754555409452e-15 
  169       6.737757598720e-10       1.282458937168e-13      -5.741206227873e-12       1.309444655749e-15       2.342375925240e-12       4.723756758459e-13      -2.691174907038e-15 
