# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   96       3.442787153970e-10       9.443281066085e-14      -2.742312810084e-12       0.000000000000e+00       1.125740534393e-11       1.169597347502e-12      -7.236707548439e-15 
   97       3.483849068560e-10       9.645238728473e-14      -2.829739018041e-12       0.000000000000e+00       1.095660089170e-11       1.145767955100e-12      -7.145840978531e-15 
   98       3.525202340251e-10       9.845904264090e-14      -2.917482097380e-12       0.000000000000e+00       1.066662374363e-11       1.122688885481e-12      -7.052791055494e-15 
   99       3.566843564898e-10       1.004508486069e-13      -3.005475547664e-12       0.000000000000e+00       1.038711250304e-11       1.100348064112e-12      -6.959091935324e-15 
  100       3.608767597999e-10       1.024258497832e-13      -3.093651594707e-12       0.000000000000e+00       1.011759075663e-11       1.078725672289e-12      -6.866390966422e-15 
  101       3.650967485948e-10       1.043820639040e-13      -3.181941205775e-12       0.000000000000e+00       9.857463256479e-12       1.057793876647e-12      -6.776451326864e-15 
  102       3.693434397276e-10       1.063174822495e-13      -3.270274104788e-12       0.000000000000e+00       9.606012101928e-12       1.037516558669e-12      -6.691154661678e-15 
  103       3.736157553903e-10       1.082300700564e-13      -3.358578787519e-12       0.000000000000e+00       9.362392921565e-12       1.017849044191e-12      -6.612503720122e-15 
  104       3.779126450356e-10       1.101178179812e-13      -3.446783323848e-12       0.000000000000e+00       9.125825938965e-12       9.987484084370e-13      -6.542150765391e-15 
  105       3.822338000913e-10       1.119789035204e-13      -3.534817855228e-12       0.000000000000e+00       8.896206788224e-12       9.802065591142e-13      -6.479904571086e-15 
  106       3.865790234257e-10       1.138115522642e-13      -3.622612464497e-12       0.000000000000e+00       8.673571476872e-12       9.622211388923e-13      -6.425025719475e-15 
  107       3.909480048630e-10       1.156139897529e-13      -3.710096442510e-12       0.000000000000e+00       8.457907214027e-12       9.447851965350e-13      -6.376680276085e-15 
  108       3.953403168234e-10       1.173844424488e-13      -3.797198311988e-12       0.000000000000e+00       8.249150733918e-12       9.278870326222e-13      -6.333937215691e-15 
  109       3.997554099611e-10       1.191211387091e-13      -3.883845851366e-12       0.000000000000e+00       8.047186619407e-12       9.115100452715e-13      -6.295765848293e-15 
  110       4.041926088039e-10       1.208223097578e-13      -3.969966118639e-12       0.000000000000e+00       7.851845625508e-12       8.956325758599e-13      -6.261033245108e-15 
  111       4.086511073921e-10       1.224861906586e-13      -4.055485475218e-12       0.000000000000e+00       7.662903002915e-12       8.802277547451e-13      -6.228501664548e-15 
  112       4.131299649176e-10       1.241110212867e-13      -4.140329609768e-12       0.000000000000e+00       7.480076821518e-12       8.652633469874e-13      -6.196825978208e-15 
  113       4.176281013626e-10       1.256950473013e-13      -4.224423562065e-12       0.000000000000e+00       7.303026293929e-12       8.507015980711e-13      -6.164551096846e-15 
  114       4.221442931390e-10       1.272365211185e-13      -4.307691746843e-12       0.000000000000e+00       7.131350099001e-12       8.364990796260e-13      -6.130109396372e-15 
  115       4.266771687272e-10       1.287337028828e-13      -4.390057977638e-12       0.000000000000e+00       6.964584705353e-12       8.226065351493e-13      -6.091818143827e-15 
  116       4.312254015872e-10       1.301849089604e-13      -4.471446365234e-12       0.000000000000e+00       6.802305821266e-12       8.089801720071e-13      -6.048253617611e-15 
  117       4.357883248233e-10       1.315886620267e-13      -4.551784085916e-12       0.000000000000e+00       6.644450321666e-12       7.956174247945e-13      -5.999430574005e-15 
  118       4.403653834097e-10       1.329435611370e-13      -4.630998996131e-12       0.000000000000e+00       6.491030495401e-12       7.825252706537e-13      -5.945762015419e-15 
  119       4.449559410167e-10       1.342482372170e-13      -4.709018819254e-12       0.000000000000e+00       6.342033664703e-12       7.697091195591e-13      -5.887696075695e-15 
  120       4.495592773945e-10       1.355013544548e-13      -4.785771177165e-12       0.000000000000e+00       6.197421420515e-12       7.571727612439e-13      -5.825716776715e-15 
  121       4.541745857559e-10       1.367016116939e-13      -4.861183621835e-12       0.000000000000e+00       6.057128857836e-12       7.449183121266e-13      -5.760344785021e-15 
  122       4.588009701598e-10       1.378477438249e-13      -4.935183666903e-12       0.000000000000e+00       5.921063811058e-12       7.329461622377e-13      -5.692138168427e-15 
  123       4.634374428946e-10       1.389385231792e-13      -5.007698819260e-12       0.000000000000e+00       5.789106089300e-12       7.212549221460e-13      -5.621693152630e-15 
  124       4.680829218609e-10       1.399727609204e-13      -5.078656610630e-12       0.000000000000e+00       5.661106711750e-12       7.098413698853e-13      -5.549644877828e-15 
  125       4.727362279555e-10       1.409493084376e-13      -5.147984629153e-12       0.000000000000e+00       5.536887143002e-12       6.987003978807e-13      -5.476668155332e-15 
  126       4.773960824539e-10       1.418670587374e-13      -5.215610550963e-12       0.000000000000e+00       5.416238528393e-12       6.878249598755e-13      -5.403478224180e-15 
  127       4.820611043943e-10       1.427249478369e-13      -5.281462171772e-12       0.000000000000e+00       5.298920929340e-12       6.772060178574e-13      -5.330831507750e-15 
  128       4.867298079602e-10       1.435219561559e-13      -5.345467438452e-12       0.000000000000e+00       5.184662558681e-12       6.668324889851e-13      -5.259526370377e-15 
  129       4.914007493148e-10       1.442571504573e-13      -5.407555225821e-12       0.000000000000e+00       5.073218095647e-12       6.566936187006e-13      -5.190237387184e-15 
  130       4.960729908743e-10       1.449298119125e-13      -5.467657696267e-12       0.000000000000e+00       4.964552487813e-12       6.467865071355e-13      -5.122995990835e-15 
  131       5.007456832579e-10       1.455393247820e-13      -5.525708259868e-12       0.000000000000e+00       4.858675961259e-12       6.371093119061e-13      -5.057654015730e-15 
  132       5.054179188703e-10       1.460851387928e-13      -5.581640888936e-12       0.000000000000e+00       4.755586409806e-12       6.276588605782e-13      -4.994044647262e-15 
  133       5.100887303540e-10       1.465667708215e-13      -5.635390154935e-12       0.000000000000e+00       4.655269053112e-12       6.184306149540e-13      -4.931981987116e-15 
  134       5.147570890426e-10       1.469838065764e-13      -5.686891265391e-12       0.000000000000e+00       4.557696094758e-12       6.094186353599e-13      -4.871260618566e-15 
  135       5.194219034128e-10       1.473359022807e-13      -5.736080100808e-12       0.000000000000e+00       4.462826380340e-12       6.006155449338e-13      -4.811655171761e-15 
  136       5.240820175375e-10       1.476227863548e-13      -5.782893251583e-12       0.000000000000e+00       4.370605055561e-12       5.920124939125e-13      -4.752919889034e-15 
  137       5.287362095382e-10       1.478442610992e-13      -5.827268054917e-12       0.000000000000e+00       4.280963224317e-12       5.835991239191e-13      -4.694788190183e-15 
  138       5.333831900379e-10       1.480002043770e-13      -5.869142631733e-12       0.000000000000e+00       4.193817606791e-12       5.753635322507e-13      -4.636972237777e-15 
  139       5.380216006136e-10       1.480905712967e-13      -5.908455923583e-12       0.000000000000e+00       4.109070197541e-12       5.672922361653e-13      -4.579162502448e-15 
  140       5.426500122490e-10       1.481153958947e-13      -5.945147729571e-12       0.000000000000e+00       4.026607923591e-12       5.593701371697e-13      -4.521027328184e-15 
  141       5.472669237871e-10       1.480747928183e-13      -5.979158743259e-12       0.000000000000e+00       3.946302302522e-12       5.515804853070e-13      -4.462212497625e-15 
  142       5.518707603831e-10       1.479689590080e-13      -6.010430589586e-12       0.000000000000e+00       3.868009100560e-12       5.439048434433e-13      -4.402340797363e-15 
  143       5.564598719568e-10       1.477981753803e-13      -6.038905861779e-12       0.000000000000e+00       3.791567990668e-12       5.363230515561e-13      -4.341011583231e-15 
  144       5.610326634243e-10       1.475628215058e-13      -6.064528716989e-12       0.000000000000e+00       3.716836118974e-12       5.288179689941e-13      -4.277897987791e-15 
  145       5.655880031296e-10       1.472634177215e-13      -6.087246651444e-12       0.000000000000e+00       3.643793255473e-12       5.213903035693e-13      -4.213050261341e-15 
  146       5.701248519252e-10       1.469005903882e-13      -6.107008971291e-12       0.000000000000e+00       3.572446408079e-12       5.140451833332e-13      -4.146621649131e-15 
  147       5.746421342253e-10       1.464750610097e-13      -6.123766289355e-12       0.000000000000e+00       3.502796699410e-12       5.067875016990e-13      -4.078773559863e-15 
  148       5.791387372164e-10       1.459876479903e-13      -6.137470565268e-12       0.000000000000e+00       3.434839219751e-12       4.996219091886e-13      -4.009675692145e-15 
  149       5.836135100666e-10       1.454392683917e-13      -6.148075145589e-12       0.000000000000e+00       3.368562880022e-12       4.925528051798e-13      -3.939506160947e-15 
  150       5.880652631362e-10       1.448309396911e-13      -6.155534803937e-12       0.000000000000e+00       3.303950264744e-12       4.855843296534e-13      -3.868451624061e-15 
  151       5.924927671876e-10       1.441637815380e-13      -6.159805781105e-12       0.000000000000e+00       3.240977485000e-12       4.787203549401e-13      -3.796707408555e-15 
  152       5.968947525950e-10       1.434390175115e-13      -6.160845825197e-12       0.000000000000e+00       3.179614031407e-12       4.719644774674e-13      -3.724477637235e-15 
  153       6.012699085548e-10       1.426579768782e-13      -6.158614231741e-12       0.000000000000e+00       3.119822627078e-12       4.653200095070e-13      -3.651975355096e-15 
  154       6.056168822954e-10       1.418220963489e-13      -6.153071883826e-12       0.000000000000e+00       3.061559080588e-12       4.587899709218e-13      -3.579422655787e-15 
  155       6.099342782874e-10       1.409329218367e-13      -6.144181292214e-12       0.000000000000e+00       3.004772138942e-12       4.523770809125e-13      -3.507050808061e-15 
  156       6.142206574531e-10       1.399921102133e-13      -6.131906635478e-12       0.000000000000e+00       2.949403340536e-12       4.460837497652e-13      -3.435100382236e-15 
  157       6.184745363774e-10       1.390014310677e-13      -6.116213800116e-12       0.000000000000e+00       2.895386868128e-12       4.399120705982e-13      -3.363821376653e-15 
  158       6.226943865170e-10       1.379627684622e-13      -6.097070420683e-12       0.000000000000e+00       2.842649401802e-12       4.338638111089e-13      -3.293473344132e-15 
  159       6.268786334106e-10       1.368781226907e-13      -6.074445919914e-12       0.000000000000e+00       2.791109971930e-12       4.279404053211e-13      -3.224325518427e-15 
  160       6.310256558894e-10       1.357496120359e-13      -6.048311548845e-12       0.000000000000e+00       2.740679812144e-12       4.221429453319e-13      -3.156656940690e-15 
  161       6.351338971020e-10       1.345794266819e-13      -6.018640306115e-12       0.000000000000e+00       2.691280521542e-12       4.164719215203e-13      -3.090698712559e-15 
  162       6.392022102833e-10       1.333696821845e-13      -5.985406603584e-12       0.000000000000e+00       2.642900664948e-12       4.109264346808e-13      -3.026454751154e-15 
  163       6.432295421957e-10       1.321225563416e-13      -5.948586647689e-12       0.000000000000e+00       2.595543920260e-12       4.055048981194e-13      -2.963865350855e-15 
  164       6.472148237904e-10       1.308403373966e-13      -5.908158596869e-12       0.000000000000e+00       2.549211157089e-12       4.002052735909e-13      -2.902863492321e-15 
  165       6.511569699315e-10       1.295254255762e-13      -5.864102601134e-12       0.000000000000e+00       2.503900373959e-12       3.950250618880e-13      -2.843374702678e-15 
  166       6.550548791210e-10       1.281803346271e-13      -5.816400841634e-12       0.000000000000e+00       2.459606635514e-12       3.899612934313e-13      -2.785316915711e-15 
  167       6.589074332230e-10       1.268076933536e-13      -5.765037570227e-12       0.000000000000e+00       2.416322009722e-12       3.850105188593e-13      -2.728600332048e-15 
  168       6.627134971879e-10       1.254102471544e-13      -5.709999149050e-12       0.000000000000e+00       2.374035505077e-12       3.801687996178e-13      -2.673127279353e-15 
  169       6.664719187775e-10       1.239908595604e-13      -5.651274090087e-12       0.000000000000e+00       2.332733007808e-12       3.754316985498e-13      -2.618792072516e-15 
  170       6.701815282888e-10       1.225525137716e-13      -5.588853094736e-12       0.000000000000e+00       2.292397219076e-12       3.707942704850e-13      -2.565480873840e-15 
