# Matter power spectrum P(k) at redshift z=0
# for k=1.05826e-05 to 21.1826 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.261374203428e-02       8.725666691559e+03 
       7.511749158628e-02       8.402530833180e+03 
       7.781871042584e-02       8.044828387058e+03 
       8.068477330211e-02       7.660373997386e+03 
       8.367798366692e-02       7.261281819738e+03 
       8.676272126168e-02       6.861818306966e+03 
       8.990983471932e-02       6.475975053850e+03 
       9.309778928524e-02       6.115470875685e+03 
       9.631175980455e-02       5.788325030891e+03 
       9.954200676961e-02       5.498637385960e+03 
       1.027823216668e-01       5.247050439029e+03 
       1.060288212453e-01       5.031420035371e+03 
       1.092791050340e-01       4.847323747845e+03 
       1.125316997741e-01       4.689174796125e+03 
       1.157857051540e-01       4.550772219382e+03 
       1.190405723570e-01       4.425922042247e+03 
       1.222959672682e-01       4.308979823443e+03 
       1.255516865778e-01       4.195218501201e+03 
       1.288076065494e-01       4.081177450568e+03 
       1.320636518142e-01       3.964770620660e+03 
       1.353197763936e-01       3.845258307291e+03 
       1.385759521683e-01       3.723126543711e+03 
       1.418321618749e-01       3.599834541564e+03 
       1.450883948541e-01       3.477269803289e+03 
       1.483446444689e-01       3.357584026882e+03 
       1.516009065359e-01       3.242736924830e+03 
       1.548571783732e-01       3.134437555937e+03 
       1.581134582212e-01       3.033728407904e+03 
       1.613697448899e-01       2.941173746070e+03 
       1.646260375445e-01       2.856773273116e+03 
       1.678823355737e-01       2.780064398771e+03 
       1.711386385101e-01       2.710248751118e+03 
       1.743949459801e-01       2.646285599082e+03 
       1.776512576737e-01       2.587019420468e+03 
       1.809075733253e-01       2.531357090832e+03 
       1.841638927014e-01       2.478231917991e+03 
       1.874202155931e-01       2.426926296816e+03 
       1.906765418108e-01       2.376643890730e+03 
       1.939328711805e-01       2.326916638952e+03 
       1.971892035421e-01       2.277522354158e+03 
       2.004455387466e-01       2.228462454253e+03 
       2.037018766555e-01       2.179933711190e+03 
       2.069582171396e-01       2.132185933735e+03 
       2.102145600778e-01       2.085565696686e+03 
       2.134709053568e-01       2.040370163231e+03 
       2.167272528701e-01       1.996867352380e+03 
       2.199836025177e-01       1.955217085622e+03 
       2.232399542053e-01       1.915515458730e+03 
       2.264963078445e-01       1.877764564595e+03 
       2.297526633515e-01       1.841906251954e+03 
       2.330090206476e-01       1.807822879744e+03 
       2.362653796583e-01       1.775369841115e+03 
       2.395217403131e-01       1.744368999347e+03 
       2.427781025454e-01       1.714633168550e+03 
       2.460344662922e-01       1.685987464602e+03 
       2.492908314938e-01       1.658261993130e+03 
       2.525471980935e-01       1.631337876118e+03 
       2.558035660376e-01       1.605102220207e+03 
       2.590599352750e-01       1.579490562670e+03 
       2.623163057574e-01       1.554467142085e+03 
       2.655726774386e-01       1.530014465185e+03 
       2.688290502748e-01       1.506137138239e+03 
       2.720854242243e-01       1.482847892811e+03 
       2.753417992474e-01       1.460166913496e+03 
       2.785981753062e-01       1.438103443155e+03 
       2.818545523646e-01       1.416686557759e+03 
       2.851109303881e-01       1.395906924189e+03 
       2.883673093440e-01       1.375772027263e+03 
       2.916236892006e-01       1.356264650403e+03 
       2.948800699282e-01       1.337365827487e+03 
       2.981364514979e-01       1.319037870926e+03 
       3.013928338823e-01       1.301269076326e+03 
       3.046492170552e-01       1.284004945111e+03 
       3.079056009914e-01       1.267225559975e+03 
       3.111619856669e-01       1.250897853584e+03 
       3.144183710584e-01       1.234989295752e+03 
       3.176747571440e-01       1.219489045547e+03 
       3.209311439024e-01       1.204362645191e+03 
       3.241875313131e-01       1.189601774165e+03 
       3.274439193567e-01       1.175188754598e+03 
       3.307003080143e-01       1.161116164857e+03 
       3.339566972679e-01       1.147371380802e+03 
       3.372130871002e-01       1.133950357755e+03 
       3.404694774945e-01       1.120843869804e+03 
       3.437258684347e-01       1.108046633450e+03 
       3.469822599053e-01       1.095551955606e+03 
       3.502386518916e-01       1.083350114895e+03 
       3.534950443792e-01       1.071437079390e+03 
       3.567514373542e-01       1.059801685923e+03 
       3.600078308035e-01       1.048430847153e+03 
       3.632642247142e-01       1.037328874409e+03 
       3.665206190740e-01       1.026474056564e+03 
       3.697770138709e-01       1.015861810035e+03 
       3.730334090935e-01       1.005485727886e+03 
       3.762898047306e-01       9.953348713329e+02 
       3.795462007715e-01       9.854015244863e+02 
       3.828025972060e-01       9.756801573728e+02 
       3.860589940239e-01       9.661634557177e+02 
       3.893153912156e-01       9.568418698984e+02 
       3.925717887718e-01       9.477146766201e+02 
       3.958281866835e-01       9.387699437101e+02 
       3.990845849418e-01       9.300133350485e+02 
       4.023409835385e-01       9.214284545222e+02 
