# Matter power spectrum P(k) at redshift z=0
# for k=1.05826e-05 to 21.1826 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.036467033925e-02       1.871353578504e+04 
       3.050972457568e-02       1.864154517544e+04 
       3.065511511232e-02       1.856961901395e+04 
       3.080085020661e-02       1.849746082973e+04 
       3.094693835517e-02       1.842530428908e+04 
       3.109338830227e-02       1.835312034902e+04 
       3.124020904864e-02       1.828093181103e+04 
       3.138740986075e-02       1.820831747720e+04 
       3.153500028045e-02       1.813599699826e+04 
       3.168299013504e-02       1.806342991048e+04 
       3.183138954786e-02       1.799090812635e+04 
       3.198020894932e-02       1.791831548914e+04 
       3.212945908844e-02       1.784577860628e+04 
       3.227915104496e-02       1.777326823563e+04 
       3.242929624201e-02       1.770044033708e+04 
       3.257990645941e-02       1.762786652004e+04 
       3.273099384757e-02       1.755523634182e+04 
       3.288257094211e-02       1.748241838954e+04 
       3.303465067917e-02       1.740979994934e+04 
       3.318724641153e-02       1.733690099186e+04 
       3.334037192550e-02       1.726421978446e+04 
       3.349404145863e-02       1.719185209619e+04 
       3.364826971849e-02       1.711920793852e+04 
       3.380307190218e-02       1.704653288571e+04 
       3.395846371712e-02       1.697385854333e+04 
       3.411446140275e-02       1.690113403318e+04 
       3.427108175347e-02       1.682882415618e+04 
       3.442834214282e-02       1.675634365287e+04 
       3.458626054901e-02       1.668380711134e+04 
       3.474485558176e-02       1.661140281956e+04 
       3.490414651075e-02       1.653879693256e+04 
       3.506415329566e-02       1.646670117154e+04 
       3.522489661784e-02       1.639434772221e+04 
       3.538639791394e-02       1.632198543685e+04 
       3.554867941139e-02       1.624988289535e+04 
       3.571176416607e-02       1.617778957896e+04 
       3.587567610217e-02       1.610565723317e+04 
       3.604044005449e-02       1.603355418004e+04 
       3.620608181334e-02       1.596161568117e+04 
       3.637262817222e-02       1.588965617501e+04 
       3.654010697846e-02       1.581780644860e+04 
       3.670854718715e-02       1.574600206765e+04 
       3.687797891842e-02       1.567419190664e+04 
       3.704843351862e-02       1.560257174284e+04 
       3.721994362539e-02       1.553077563879e+04 
       3.739254323712e-02       1.545942625957e+04 
       3.756626778718e-02       1.538771591653e+04 
       3.774115422314e-02       1.531639639450e+04 
       3.791724109156e-02       1.524487052256e+04 
       3.809456862879e-02       1.517379456289e+04 
       3.827317885811e-02       1.510248705204e+04 
       3.845311569413e-02       1.503129342249e+04 
       3.863442505463e-02       1.496003086335e+04 
       3.881715498090e-02       1.488894032548e+04 
       3.900135576708e-02       1.481793540948e+04 
       3.918708009950e-02       1.474689533699e+04 
       3.937438320676e-02       1.467592907141e+04 
       3.956332302176e-02       1.460490998517e+04 
       3.975396035668e-02       1.453423732178e+04 
       3.994635909223e-02       1.446332434861e+04 
       4.014058638256e-02       1.439248944060e+04 
       4.033671287736e-02       1.432173856374e+04 
       4.053481296297e-02       1.425091300119e+04 
       4.073496502438e-02       1.418020717117e+04 
       4.093725173042e-02       1.410945446140e+04 
       4.114176034447e-02       1.403876838541e+04 
       4.134858306356e-02       1.396793121158e+04 
       4.155781738899e-02       1.389722725151e+04 
       4.176956653196e-02       1.382647382259e+04 
       4.198393985825e-02       1.375571381304e+04 
       4.220105337644e-02       1.368494909000e+04 
       4.242103027489e-02       1.361410518730e+04 
       4.264400151333e-02       1.354323175180e+04 
       4.287010647577e-02       1.347225689820e+04 
       4.309949369239e-02       1.340127729955e+04 
       4.333232163924e-02       1.333020464334e+04 
       4.356875962590e-02       1.325892765885e+04 
       4.380898878278e-02       1.318745069717e+04 
       4.405320316146e-02       1.311617918294e+04 
       4.430161096392e-02       1.304461433437e+04 
       4.455443591867e-02       1.297299374736e+04 
       4.481191882511e-02       1.290099758459e+04 
       4.507431929087e-02       1.282894510310e+04 
       4.534191769131e-02       1.275647215748e+04 
       4.561501738540e-02       1.268424009503e+04 
       4.589394722835e-02       1.261125050280e+04 
       4.617906442912e-02       1.253832197348e+04 
       4.647075780967e-02       1.246491604148e+04 
       4.676945153402e-02       1.239125390724e+04 
       4.707560938865e-02       1.231697069342e+04 
       4.738973971239e-02       1.224258381131e+04 
       4.771240109399e-02       1.216775259045e+04 
       4.804420898123e-02       1.209230783246e+04 
       4.838584337619e-02       1.201632571427e+04 
       4.873805783065e-02       1.193964126207e+04 
       4.910169000422e-02       1.186242793785e+04 
       4.947767410912e-02       1.178446782705e+04 
       4.986705564307e-02       1.170563518240e+04 
       5.027100890973e-02       1.162615181190e+04 
       5.069085795060e-02       1.154536226968e+04 
       5.112810167079e-02       1.146382997463e+04 
       5.158444414344e-02       1.138092141903e+04 
       5.206183133451e-02       1.129669861247e+04 
       5.256249581769e-02       1.121099925014e+04 
       5.308901146215e-02       1.112344345614e+04 
       5.364436059291e-02       1.103414535003e+04 
       5.423201675509e-02       1.094256322360e+04 
       5.485604695854e-02       1.084841970348e+04 
       5.552123809793e-02       1.075141901545e+04 
       5.623325301396e-02       1.065094680297e+04 
       5.699882209022e-02       1.054645802796e+04 
       5.782597572877e-02       1.043714918691e+04 
       5.872432021605e-02       1.032221716983e+04 
       5.970535186659e-02       1.020031826770e+04 
       6.078278733210e-02       1.006975418320e+04 
       6.197285391602e-02       9.928602326382e+03 
       6.329442167047e-02       9.774189929372e+03 
       6.476875867930e-02       9.603072820564e+03 
       6.641855901619e-02       9.411055694495e+03 
       6.826579461548e-02       9.193250329594e+03 
       7.032806334432e-02       8.944358860619e+03 
       7.261374203428e-02       8.660613118416e+03 
       7.511749158628e-02       8.339845538064e+03 
       7.781871042584e-02       7.984781061158e+03 
       8.068477330211e-02       7.603171310945e+03 
       8.367798366692e-02       7.207034051445e+03 
       8.676272126168e-02       6.810526602887e+03 
       8.990983471932e-02       6.427537735528e+03 
       9.309778928524e-02       6.069704578342e+03 
       9.631175980455e-02       5.744993615475e+03 
       9.954200676961e-02       5.457481886946e+03 
       1.027823216668e-01       5.207814023049e+03 
       1.060288212453e-01       4.993866675937e+03 
       1.092791050340e-01       4.811250840932e+03 
       1.125316997741e-01       4.654419039845e+03 
       1.157857051540e-01       4.517210791498e+03 
       1.190405723570e-01       4.393469443125e+03 
       1.222959672682e-01       4.277581918163e+03 
       1.255516865778e-01       4.164844922989e+03 
       1.288076065494e-01       4.051813047429e+03 
       1.320636518142e-01       3.936407053980e+03 
       1.353197763936e-01       3.817886870551e+03 
       1.385759521683e-01       3.696732850577e+03 
       1.418321618749e-01       3.574395532428e+03 
       1.450883948541e-01       3.452752975860e+03 
       1.483446444689e-01       3.333948360279e+03 
       1.516009065359e-01       3.219935228219e+03 
       1.548571783732e-01       3.112419586156e+03 
       1.581134582212e-01       3.012443714021e+03 
       1.613697448899e-01       2.920574249225e+03 
       1.646260375445e-01       2.836815175922e+03 
       1.678823355737e-01       2.760709170109e+03 
       1.711386385101e-01       2.691463577361e+03 
       1.743949459801e-01       2.628042816980e+03 
       1.776512576737e-01       2.569295910659e+03 
       1.809075733253e-01       2.514133072488e+03 
       1.841638927014e-01       2.461490105403e+03 
       1.874202155931e-01       2.410650447218e+03 
       1.906765418108e-01       2.360818321509e+03 
       1.939328711805e-01       2.311525420561e+03 
       1.971892035421e-01       2.262549004661e+03 
       2.004455387466e-01       2.213889911908e+03 
       2.037018766555e-01       2.165744672835e+03 
       2.069582171396e-01       2.118363243143e+03 
       2.102145600778e-01       2.072092726250e+03 
       2.134709053568e-01       2.027231381340e+03 
       2.167272528701e-01       1.984048534855e+03 
       2.199836025177e-01       1.942705446654e+03 
       2.232399542053e-01       1.903299736259e+03 
       2.264963078445e-01       1.865834843242e+03 
       2.297526633515e-01       1.830253758723e+03 
       2.330090206476e-01       1.796439744953e+03 
       2.362653796583e-01       1.764248812028e+03 
       2.395217403131e-01       1.733503149812e+03 
       2.427781025454e-01       1.704015619444e+03 
       2.460344662922e-01       1.675611161326e+03 
       2.492908314938e-01       1.648119671934e+03 
       2.525471980935e-01       1.621421952289e+03 
       2.558035660376e-01       1.595404890202e+03 
       2.590599352750e-01       1.570003875166e+03 
       2.623163057574e-01       1.545183174651e+03 
       2.655726774386e-01       1.520925464390e+03 
       2.688290502748e-01       1.497235672509e+03 
       2.720854242243e-01       1.474126979021e+03 
       2.753417992474e-01       1.451620067035e+03 
       2.785981753062e-01       1.429724813816e+03 
       2.818545523646e-01       1.408470802024e+03 
       2.851109303881e-01       1.387849330021e+03 
       2.883673093440e-01       1.367868284429e+03 
       2.916236892006e-01       1.348510860876e+03 
       2.948800699282e-01       1.329758335952e+03 
       2.981364514979e-01       1.311573236466e+03 
       3.013928338823e-01       1.293943833612e+03 
       3.046492170552e-01       1.276815768571e+03 
       3.079056009914e-01       1.260169038171e+03 
       3.111619856669e-01       1.243970566630e+03 
       3.144183710584e-01       1.228187832585e+03 
       3.176747571440e-01       1.212809908088e+03 
       3.209311439024e-01       1.197802427943e+03 
       3.241875313131e-01       1.183157069622e+03 
       3.274439193567e-01       1.168856243976e+03 
       3.307003080143e-01       1.154892627075e+03 
       3.339566972679e-01       1.141253739938e+03 
       3.372130871002e-01       1.127935675962e+03 
       3.404694774945e-01       1.114929383353e+03 
       3.437258684347e-01       1.102229730018e+03 
       3.469822599053e-01       1.089830166531e+03 
       3.502386518916e-01       1.077721120044e+03 
       3.534950443792e-01       1.065898642151e+03 
       3.567514373542e-01       1.054351691724e+03 
       3.600078308035e-01       1.043067282706e+03 
       3.632642247142e-01       1.032049725178e+03 
       3.665206190740e-01       1.021277431950e+03 
       3.697770138709e-01       1.010745841607e+03 
       3.730334090935e-01       1.000448569564e+03 
       3.762898047306e-01       9.903747280154e+02 
       3.795462007715e-01       9.805166312607e+02 
       3.828025972060e-01       9.708687759561e+02 
       3.860589940239e-01       9.614238894674e+02 
       3.893153912156e-01       9.521724920052e+02 
       3.925717887718e-01       9.431138674084e+02 
       3.958281866835e-01       9.342361738707e+02 
       3.990845849418e-01       9.255450608726e+02 
       4.023409835385e-01       9.170242443289e+02 
       4.055973824652e-01       9.086738446931e+02 
       4.088537817140e-01       9.004886482230e+02 
       4.121101812774e-01       8.924654714340e+02 
       4.153665811478e-01       8.845968964068e+02 
       4.186229813181e-01       8.768831756027e+02 
       4.218793817813e-01       8.693127622067e+02 
       4.251357825307e-01       8.618900230298e+02 
       4.283921835596e-01       8.546082778613e+02 
       4.316485848618e-01       8.474604597785e+02 
       4.349049864311e-01       8.404463799420e+02 
       4.381613882615e-01       8.335599395231e+02 
       4.414177903472e-01       8.267990230286e+02 
       4.446741926825e-01       8.201610611645e+02 
       4.479305952621e-01       8.136398211568e+02 
       4.511869980806e-01       8.072387233217e+02 
       4.544434011329e-01       8.009462986357e+02 
       4.576998044139e-01       7.947655877488e+02 
       4.609562079187e-01       7.886909037577e+02 
